date,store_id,store_region,sku_id,category,units_sold,revenue,promo_flag,promo_type,price,inventory_level,store_size,holiday_flag
2022-11-19,3,East,118,Household,9,53.37,0,,5.93,147,Medium,1
2022-02-02,1,South,120,Personal Care,7,36.26,0,,5.18,139,Large,0
2022-03-26,9,South,149,Snacks,9,71.28,0,,7.92,962,Large,1
2022-03-18,9,East,106,Beverages,6,13.32,0,,2.22,371,Medium,0
2022-06-08,5,East,146,Household,10,65.5,0,,6.55,229,Large,0
2022-12-24,8,South,121,Beverages,17,40.392,1,Discount,2.3760000000000003,404,Small,1
2022-12-09,4,South,126,Snacks,22,73.04,1,FlashSale,3.3200000000000003,187,Large,0
2022-07-18,7,East,118,Dairy,10,70.19999999999999,0,,7.02,371,Small,0
2022-10-29,2,North,136,Snacks,23,94.024,1,Discount,4.088,866,Small,1
2022-11-20,4,East,125,Personal Care,12,97.19999999999999,0,,8.1,524,Small,1
2022-09-08,9,East,107,Snacks,10,30.5,0,,3.05,881,Small,0
2022-09-09,2,South,115,Beverages,10,86.30000000000001,0,,8.63,297,Medium,0
2022-02-20,6,East,119,Snacks,8,50.64,0,,6.33,674,Large,1
2022-04-03,9,East,104,Dairy,4,13.16,0,,3.29,602,Small,1
2022-11-09,8,North,105,Beverages,10,94.2,0,,9.42,493,Small,0
2022-11-19,5,North,104,Household,12,51.480000000000004,0,,4.29,286,Large,1
2022-10-29,9,South,133,Snacks,11,60.61,0,,5.51,779,Large,1
2022-08-09,7,South,110,Beverages,8,19.6,0,,2.45,144,Small,0
2022-12-06,2,North,141,Personal Care,13,38.74,0,,2.98,564,Large,0
2022-03-26,6,North,122,Beverages,12,92.88,0,,7.74,519,Large,1
2022-09-15,9,North,118,Snacks,11,27.83,0,,2.53,986,Large,0
2022-01-30,4,South,102,Snacks,13,79.95,0,,6.15,542,Medium,1
2022-03-23,6,North,131,Beverages,5,17.5,0,,3.5,137,Large,0
2022-01-15,10,South,138,Household,9,39.6,0,,4.4,324,Medium,1
2022-09-17,1,North,114,Snacks,18,50.04,0,,2.78,959,Large,1
2022-08-27,1,East,133,Household,12,110.16,0,,9.18,946,Medium,1
